risk_rank,junction_name,IPII,risk_category,top_contributing_factor,top_factor_share_pct,risk_explanation
37,"Btp095 - Satellite Bus Stand, Mysore Road",42.48,Moderate,Severity (violation volume/weight),71.7,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
38,Btp038 - Mysore Bank Junction,42.46,Moderate,Severity (violation volume/weight),85.7,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
39,Btp130 - Gd Mara Junction,42.27,Moderate,Severity (violation volume/weight),73.3,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
40,Btp135 - Uco Bank Junction,42.11,Moderate,Severity (violation volume/weight),82.9,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
41,"Btp182 - 19Th Main Junction, Rajajinagar",41.96,Moderate,Severity (violation volume/weight),78.1,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
42,Btp069 - Mc Circle,41.57,Moderate,Severity (violation volume/weight),78.7,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
43,"Btp022 - Marenahalli Junction, Vijayanagar",41.16,Moderate,Severity (violation volume/weight),81.1,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
44,"Btp117 - 9Th Cross, Kanakapura Road",40.93,Moderate,Severity (violation volume/weight),59.4,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
45,Btp063 - Siddalingaiah Circle,40.92,Moderate,Severity (violation volume/weight),83.4,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
46,Btp205 - Modi Hospital Junction,40.78,Moderate,Severity (violation volume/weight),79.7,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
47,Btp180 - Swagath Poornima Theatre,40.2,Moderate,Severity (violation volume/weight),59.9,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
48,Btp074 - Leprosy Hospital Junction,40.05,Moderate,Severity (violation volume/weight),84.0,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
49,"Btp024 - Nps, Vijayanagar",39.89,Moderate,Severity (violation volume/weight),72.2,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
50,Btp010 - Rajajinagar Entrance,39.76,Moderate,Severity (violation volume/weight),84.1,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
51,"Btp206 - Shankara Mutt Circle, Vijayanagar",39.74,Moderate,Severity (violation volume/weight),71.0,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
52,"Btp226 - 33Rd Cross, 11Th Main, Jayanagar",39.65,Moderate,Severity (violation volume/weight),83.8,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
53,Btp143 - Asc Junction,39.55,Moderate,Behavioral risk (repeat offenders + peak-hour concentration),57.2,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Behavioral risk (repeat offenders + peak-hour concentration) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
54,"Btp026 - 1St Block Junction, Rajajinagar",39.23,Moderate,Severity (violation volume/weight),78.9,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
55,Btp208 - Havanur Circle,39.07,Moderate,Severity (violation volume/weight),76.8,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
56,Btp118 - Basappa Circle,39.0,Moderate,Severity (violation volume/weight),74.8,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
57,"Btp033 - Sophia High School, Sankey Road",38.58,Moderate,Severity (violation volume/weight),50.5,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
58,Btp008 - Navarang Theatre,38.57,Moderate,Severity (violation volume/weight),80.5,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
59,Btp136 - Hosur-Tavarkere Road Junction,37.96,Moderate,Severity (violation volume/weight),77.3,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
60,"Btp179 - 9Th Block, 28Th Main, Jayanagar",37.52,Moderate,Severity (violation volume/weight),74.4,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
61,"Btp123 - 10Th Cross, Wilson Garden",37.41,Moderate,Severity (violation volume/weight),75.9,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
62,Btp109 - Dewan Madhava Rao Junction,37.05,Moderate,Severity (violation volume/weight),65.5,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
63,"Btp188 - 27Th Cross, 4Th Main, Jayanagar",37.02,Moderate,Severity (violation volume/weight),70.1,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
64,Btp100 - Richmond Circle,36.89,Moderate,Severity (violation volume/weight),70.2,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
65,Btp028 - Vijayanagar Bus Stand Junction,36.72,Moderate,Severity (violation volume/weight),81.0,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
66,"Btp099 - Cash Pharmacy, Residency Road",36.06,Moderate,Severity (violation volume/weight),78.0,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
67,Btp018 - Dhobi Ghat Junction,35.97,Moderate,Severity (violation volume/weight),74.0,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
68,"Btp202 - East End Main Road, Jayanagar",35.82,Moderate,Severity (violation volume/weight),77.9,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
69,"Btp204 - Esi Hospital, Rajajinagar",35.66,Moderate,Severity (violation volume/weight),75.4,"IPII = 0.5*severity + 0.3*behavioral + 0.2*density. Primary driver for this junction: Severity (violation volume/weight) (0       50.8
1       58.0
2       54.1
3       62.8
4       73.7
       ...  
163    100.0
164    100.0
165    100.0
166    100.0
167      0.0
Name: top_factor_share_pct, Length: 168, dtype: str% of weighted score)."
